Oberkategorie;Fragenkomplex;Hauptthema;Unterthema
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);07. Verhaltensweisen im Brandfall sowie vorbeugender Brandschutz;Brandmeldung
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;03 Sicherheit und Gesundheitsschutz bei der Arbeit (§ 4111 Nr.3);07. Verhaltensweisen im Brandfall sowie vorbeugender Brandschutz;Schulung
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;04 Umweltschutz(§ 4 III Nr. 4) Zur Vermeidung betriebsbedingter Umweltbelastungen im beruflichen Einwirkungsbereich beitragen;01. Umweltbelastungen wahrnehmen und vermeiden helfen;Spezifische Risiken der IT-Prozesse, sowie von IT-beteiligten Prozessen, z.B. USV-Anlagen
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;04 Umweltschutz(§ 4 III Nr. 4) Zur Vermeidung betriebsbedingter Umweltbelastungen im beruflichen Einwirkungsbereich beitragen;01. Umweltbelastungen wahrnehmen und vermeiden helfen;Rationelle Energie- und Ressourcenverwendung, z.B.:
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;04 Umweltschutz(§ 4 III Nr. 4) Zur Vermeidung betriebsbedingter Umweltbelastungen im beruflichen Einwirkungsbereich beitragen;01. Umweltbelastungen wahrnehmen und vermeiden helfen;Unnötige Gerätelaufzeiten vermeiden
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;04 Umweltschutz(§ 4 III Nr. 4) Zur Vermeidung betriebsbedingter Umweltbelastungen im beruflichen Einwirkungsbereich beitragen;01. Umweltbelastungen wahrnehmen und vermeiden helfen;Umgang mit Speicher- und Printmedien
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;04 Umweltschutz(§ 4 III Nr. 4) Zur Vermeidung betriebsbedingter Umweltbelastungen im beruflichen Einwirkungsbereich beitragen;01. Umweltbelastungen wahrnehmen und vermeiden helfen;Green IT
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;04 Umweltschutz(§ 4 III Nr. 4) Zur Vermeidung betriebsbedingter Umweltbelastungen im beruflichen Einwirkungsbereich beitragen;01. Umweltbelastungen wahrnehmen und vermeiden helfen;Wiederverwertung (Recycling)
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;04 Umweltschutz(§ 4 III Nr. 4) Zur Vermeidung betriebsbedingter Umweltbelastungen im beruflichen Einwirkungsbereich beitragen;01. Umweltbelastungen wahrnehmen und vermeiden helfen;Abfalltrennung und -vermeidung
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;04 Umweltschutz(§ 4 III Nr. 4) Zur Vermeidung betriebsbedingter Umweltbelastungen im beruflichen Einwirkungsbereich beitragen;02. Umgang mit Abfällen;Branchenspezifische Abfälle
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;04 Umweltschutz(§ 4 III Nr. 4) Zur Vermeidung betriebsbedingter Umweltbelastungen im beruflichen Einwirkungsbereich beitragen;02. Umgang mit Abfällen;Erfassung
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;04 Umweltschutz(§ 4 III Nr. 4) Zur Vermeidung betriebsbedingter Umweltbelastungen im beruflichen Einwirkungsbereich beitragen;02. Umgang mit Abfällen;Lagerung und Entsorgung von z.B. Datenträgern oder Kabeln
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;04 Umweltschutz(§ 4 III Nr. 4) Zur Vermeidung betriebsbedingter Umweltbelastungen im beruflichen Einwirkungsbereich beitragen;03. Öffentliche Systeme und Verordnungen/Gesetze;Teilnahme am Dualen System im Hinblick auf Verpackungsentsorgung
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;04 Umweltschutz(§ 4 III Nr. 4) Zur Vermeidung betriebsbedingter Umweltbelastungen im beruflichen Einwirkungsbereich beitragen;03. Öffentliche Systeme und Verordnungen/Gesetze;Immissionsschutzgesetz, technische Anleitungen, z.B. zu Lärm, Luft, Abfall
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;04 Umweltschutz(§ 4 III Nr. 4) Zur Vermeidung betriebsbedingter Umweltbelastungen im beruflichen Einwirkungsbereich beitragen;04. Externe Auswirkungen;Im Rahmen von Nachhaltigkeit sind auch Auswirkungen auf Umwelt, Pflanzen, Tiere, Lebensräume zu reflektieren
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;04 Umweltschutz(§ 4 III Nr. 4) Zur Vermeidung betriebsbedingter Umweltbelastungen im beruflichen Einwirkungsbereich beitragen;05. Umweltschonende Ressourcennutzung;Berücksichtigen wirtschaftlicher Nachhaltigkeit bereits bei Einkauf und Lieferantenauswahl
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;04 Umweltschutz(§ 4 III Nr. 4) Zur Vermeidung betriebsbedingter Umweltbelastungen im beruflichen Einwirkungsbereich beitragen;05. Umweltschonende Ressourcennutzung;Sparsamer und effektiver Umgang mit Roh-, Hilfs- und Betriebsstoffen (ggf. erforderliche Kennzeichnung und getrennte Lagerung beachten)
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;04 Umweltschutz(§ 4 III Nr. 4) Zur Vermeidung betriebsbedingter Umweltbelastungen im beruflichen Einwirkungsbereich beitragen;05. Umweltschonende Ressourcennutzung;Ressourcenverbrauch und Umweltschutz in Kombination bedenken, z.B. Nutzung von Strom aus regenerativen Quellen
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;04 Umweltschutz(§ 4 III Nr. 4) Zur Vermeidung betriebsbedingter Umweltbelastungen im beruflichen Einwirkungsbereich beitragen;06. Abfallvermeidung und -reduzierung;Kreislaufwirtschaftsgesetz (insbes. § 6)
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;04 Umweltschutz(§ 4 III Nr. 4) Zur Vermeidung betriebsbedingter Umweltbelastungen im beruflichen Einwirkungsbereich beitragen;06. Abfallvermeidung und -reduzierung;Papierloses Büro
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;04 Umweltschutz(§ 4 III Nr. 4) Zur Vermeidung betriebsbedingter Umweltbelastungen im beruflichen Einwirkungsbereich beitragen;07. Rechtsfolgen bei Nichteinhaltung;Verursacherprinzip
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;05 Vernetzles Zusammenarbeiten unter Nutzung digitaler Medien (§ 4 III Nr. 5);01. Wertschätzende Zusammenarbeit;Interdisziplinarität, Interkulturalität
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;05 Vernetzles Zusammenarbeiten unter Nutzung digitaler Medien (§ 4 III Nr. 5);01. Wertschätzende Zusammenarbeit;Fähigkeit zur effektiven, integren und respektvollen Zusammenarbeit in diversen Teams
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;05 Vernetzles Zusammenarbeiten unter Nutzung digitaler Medien (§ 4 III Nr. 5);01. Wertschätzende Zusammenarbeit;Übernahme gemeinsamer Verantwortung und Wertschätzung der Beiträge jedes Teammitglieds
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;05 Vernetzles Zusammenarbeiten unter Nutzung digitaler Medien (§ 4 III Nr. 5);01. Wertschätzende Zusammenarbeit;Beachtung der Unternehmenswerte und Anwendung betrieblicher Ethikregeln
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;05 Vernetzles Zusammenarbeiten unter Nutzung digitaler Medien (§ 4 III Nr. 5);01. Wertschätzende Zusammenarbeit;Erkennung und Beseitigung von (un-)bewussten Vorurteilen
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;05 Vernetzles Zusammenarbeiten unter Nutzung digitaler Medien (§ 4 III Nr. 5);01. Wertschätzende Zusammenarbeit;Kenntnis und Beachtung von Compliance-Regeln
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;05 Vernetzles Zusammenarbeiten unter Nutzung digitaler Medien (§ 4 III Nr. 5);02. Informationstechnische Schutzziele: Integrität, Vertraulichkeit und Authentizität;Beachtung und Einhaltung von Standards des BSI
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;05 Vernetzles Zusammenarbeiten unter Nutzung digitaler Medien (§ 4 III Nr. 5);02. Informationstechnische Schutzziele: Integrität, Vertraulichkeit und Authentizität;Kenntnis und Beachtung betrieblicher Regelungen
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;05 Vernetzles Zusammenarbeiten unter Nutzung digitaler Medien (§ 4 III Nr. 5);02. Informationstechnische Schutzziele: Integrität, Vertraulichkeit und Authentizität;Reflexion von Erfahrungen in virtuellen Räumen und im Umgang mit Kommunikation und Information
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;05 Vernetzles Zusammenarbeiten unter Nutzung digitaler Medien (§ 4 III Nr. 5);02. Informationstechnische Schutzziele: Integrität, Vertraulichkeit und Authentizität;Verdeutlichung der Zuständigkeitsabgrenzung
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;05 Vernetzles Zusammenarbeiten unter Nutzung digitaler Medien (§ 4 III Nr. 5);02. Informationstechnische Schutzziele: Integrität, Vertraulichkeit und Authentizität;Berücksichtigung der Perspektive der Empfänger bei Nachrichten und Inhalten
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;05 Vernetzles Zusammenarbeiten unter Nutzung digitaler Medien (§ 4 III Nr. 5);02. Informationstechnische Schutzziele: Integrität, Vertraulichkeit und Authentizität;Sensibler Umgang mit Adressatenlisten in der digitalen Kommunikation
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;05 Vernetzles Zusammenarbeiten unter Nutzung digitaler Medien (§ 4 III Nr. 5);02. Informationstechnische Schutzziele: Integrität, Vertraulichkeit und Authentizität;Berücksichtigung der möglichen (auch juristischen) Konsequenzen von Äußerungen über den eigenen Arbeitgeber in sozialen Netzwerken
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;05 Vernetzles Zusammenarbeiten unter Nutzung digitaler Medien (§ 4 III Nr. 5);03. Ethische Aspekte und Compliance-Regelungen;"Gewährleistung von ""Diversity"" und Berücksichtigung unterschiedlicher Perspektiven"
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;05 Vernetzles Zusammenarbeiten unter Nutzung digitaler Medien (§ 4 III Nr. 5);03. Ethische Aspekte und Compliance-Regelungen;Nutzen der Vorteile aus der Verschiedenheit für das Unternehmen
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;05 Vernetzles Zusammenarbeiten unter Nutzung digitaler Medien (§ 4 III Nr. 5);03. Ethische Aspekte und Compliance-Regelungen;Gewährleistung von Gender-Neutralität und Berücksichtigung des dritten Geschlechts
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;05 Vernetzles Zusammenarbeiten unter Nutzung digitaler Medien (§ 4 III Nr. 5);03. Ethische Aspekte und Compliance-Regelungen;Im Zentrum ethischer Aspekte steht die Würde und Integrität aller Menschen, kurz-, mittel- und langfristig für alle direkt und indirekt Betroffenen der IT-Lösungen
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;05 Vernetzles Zusammenarbeiten unter Nutzung digitaler Medien (§ 4 III Nr. 5);03. Ethische Aspekte und Compliance-Regelungen;Reflexion der Auswirkungen auf alles Lebendige (Umwelt, Pflanzen, Tiere, Lebensräume) im Rahmen von Nachhaltigkeit
Teil 2 der Abschlussprüfung - 03: Wirtschafts- und Sozialkunde;05 Vernetzles Zusammenarbeiten unter Nutzung digitaler Medien (§ 4 III Nr. 5);03. Ethische Aspekte und Compliance-Regelungen;Berücksichtigung allgemeiner und betrieblicher Compliance-Regelungen
